bucket,count,percentage
10:30–10:45,75,12.71
20:30–20:45,72,12.2
04:00–04:15,72,12.2
10:45–11:00,35,5.93
04:15–04:30,28,4.75
20:45–21:00,27,4.58
21:00–21:15,22,3.73
11:00–11:15,22,3.73
04:30–04:45,18,3.05
21:30–21:45,17,2.88
05:00–05:15,16,2.71
21:15–21:30,14,2.37
04:45–05:00,14,2.37
11:45–12:00,10,1.69
12:00–12:15,9,1.53
11:15–11:30,9,1.53
11:30–11:45,9,1.53
05:15–05:30,8,1.36
05:30–05:45,7,1.19
07:00–07:15,6,1.02
22:30–22:45,6,1.02
21:45–22:00,6,1.02
22:00–22:15,5,0.85
06:00–06:15,5,0.85
06:45–07:00,4,0.68
12:45–13:00,4,0.68
01:30–01:45,4,0.68
12:15–12:30,4,0.68
22:15–22:30,4,0.68
14:15–14:30,4,0.68
08:15–08:30,4,0.68
14:30–14:45,3,0.51
08:00–08:15,3,0.51
05:45–06:00,3,0.51
07:30–07:45,3,0.51
23:30–23:45,3,0.51
23:00–23:15,3,0.51
00:45–01:00,2,0.34
01:15–01:30,2,0.34
06:15–06:30,2,0.34
01:00–01:15,2,0.34
13:15–13:30,2,0.34
07:15–07:30,2,0.34
13:00–13:15,2,0.34
15:00–15:15,2,0.34
23:15–23:30,2,0.34
14:00–14:15,2,0.34
12:30–12:45,2,0.34
07:45–08:00,2,0.34
22:45–23:00,2,0.34
00:15–00:30,1,0.17
06:30–06:45,1,0.17
00:30–00:45,1,0.17
15:30–15:45,1,0.17
13:30–13:45,1,0.17
15:45–16:00,1,0.17
