trading_date,range_type,direction,confirmation_time,confirmation_price,dr_high,dr_low,dr_range,extreme_type,extreme_price,extreme_time,first_retracement_occurred,first_retracement_percent,first_retracement_price,first_retracement_time,maximum_retracement_before_extreme,maximum_retracement_price,maximum_retracement_time,retracement_episode_count,confirmation_bucket
2024-01-02,ADR,SHORT,2024-01-01 20:40:00,16826.679,16847.439,16831.739,15.69999999999709,LOD,16349.949,2024-01-03 15:50:00,True,2.71873102068413,16559.439,2024-01-02 18:05:00,20.807414256893036,16373.439,2024-01-03 14:30:00,22,20:30–20:45
2024-01-02,ODR,SHORT,2024-01-02 04:00:00,16827.369,16847.799,16829.269,18.52999999999884,LOD,16349.949,2024-01-03 15:50:00,True,2.7429354094568126,16559.439,2024-01-02 18:05:00,20.915985381414124,16373.439,2024-01-03 14:30:00,22,04:00–04:15
2024-01-02,RDR,SHORT,2024-01-02 10:30:00,16529.359,16674.229,16547.239,126.98999999999796,LOD,16349.949,2024-01-03 15:50:00,True,100.0,16549.099,2024-01-02 18:25:00,100.0,16547.599,2024-01-02 18:25:00,25,10:30–10:45
2024-01-03,ADR,SHORT,2024-01-02 21:15:00,16529.979,16549.929,16534.379,15.549999999999272,LOD,16273.549,2024-01-04 15:55:00,True,3.667497703712324,16387.549,2024-01-03 18:05:00,55.89835250233146,16295.369,2024-01-04 11:25:00,8,21:15–21:30
2024-01-03,ODR,SHORT,2024-01-03 04:05:00,16488.409,16547.679,16497.529,50.150000000001455,LOD,16273.549,2024-01-04 15:55:00,True,4.83689538807513,16387.549,2024-01-03 18:05:00,65.23967167021978,16295.369,2024-01-04 11:25:00,8,04:00–04:15
2024-01-03,RDR,SHORT,2024-01-03 10:35:00,16372.579,16462.349,16393.889,68.45999999999913,LOD,16273.549,2024-01-04 15:55:00,True,46.85666387258208,16387.549,2024-01-03 18:05:00,100.0,16396.369,2024-01-03 19:45:00,26,10:30–10:45
2024-01-04,ADR,SHORT,2024-01-03 21:15:00,16381.599,16395.109,16385.499,9.610000000000582,LOD,16173.219,2024-01-05 08:30:00,True,10.589230931979424,16300.979,2024-01-04 18:05:00,32.18365186382149,16263.789,2024-01-05 08:30:00,15,21:15–21:30
2024-01-04,ODR,SHORT,2024-01-04 06:50:00,16377.439,16415.479,16382.589,32.88999999999942,LOD,16173.219,2024-01-05 08:30:00,True,10.925562104344172,16300.979,2024-01-04 18:05:00,32.71409152695989,16263.789,2024-01-05 08:30:00,15,06:45–07:00
2024-01-04,RDR,LONG,2024-01-04 10:45:00,16372.799,16359.959,16286.519,73.44000000000051,HOD,16416.269,2024-01-05 11:10:00,True,100.0,16355.579,2024-01-05 10:15:00,100.0,16351.299,2024-01-05 10:15:00,3,10:45–11:00
2024-01-08,ADR,SHORT,2024-01-07 20:45:00,16326.889,16340.149,16331.269,8.8799999999992,LOD,16501.839,2024-01-09 08:45:00,False,,,,,,,0,20:45–21:00
