range_type,percentile,extension_sd
ADR,50.0,0.653190864360741
ADR,60.0,0.872178993894056
ADR,70.0,1.2000022633672485
ADR,75.0,1.4666741137920598
ADR,80.0,1.8786774496712213
ADR,85.0,2.7373946180471744
ADR,90.0,4.204342701095758
ADR,95.0,9.51947603823692
ADR,97.5,12.45471844935908
ADR,99.0,14.463862117038659
ADR,100.0,15.010667207461472
ODR,50.0,0.5961458081264241
ODR,60.0,0.7199614809246592
ODR,70.0,1.0617184787750837
ODR,75.0,1.3487000218477898
ODR,80.0,1.6183784582123022
ODR,85.0,2.373662062187339
ODR,90.0,3.212183028137798
ODR,95.0,5.451455999370777
ODR,97.5,9.765345825901054
ODR,99.0,12.535409522881901
ODR,100.0,20.588774959526496
RDR,50.0,0.5244841112869316
RDR,60.0,0.6495422627332685
RDR,70.0,0.8312192075278897
RDR,75.0,0.991811321211834
RDR,80.0,1.1276300026520454
RDR,85.0,1.4631897116331756
RDR,90.0,2.071946926633729
RDR,95.0,2.898084039242268
RDR,97.5,3.524633533606624
RDR,99.0,4.697962814146127
RDR,100.0,5.617453057847116
