trading_date,range_type,direction,confirmation_time,confirmation_price,dr_high,dr_low,dr_range,extreme_type,extreme_price,extreme_time,first_retracement_occurred,first_retracement_percent,first_retracement_price,first_retracement_time,maximum_retracement_before_extreme,maximum_retracement_price,maximum_retracement_time,retracement_episode_count
2024-01-02,RDR,SHORT,2024-01-02 10:30:00,16529.359,16674.229,16547.239,126.98999999999796,LOD,16349.949,2024-01-03 15:50:00,True,100.0,16549.099,2024-01-02 18:25:00,100.0,16547.599,2024-01-02 18:25:00,25
2024-01-03,RDR,SHORT,2024-01-03 10:35:00,16372.579,16462.349,16393.889,68.45999999999913,LOD,16273.549,2024-01-04 15:55:00,True,46.85666387258208,16387.549,2024-01-03 18:05:00,100.0,16396.369,2024-01-03 19:45:00,26
2024-01-04,RDR,LONG,2024-01-04 10:45:00,16372.799,16359.959,16286.519,73.44000000000051,HOD,16416.269,2024-01-05 11:10:00,True,100.0,16355.579,2024-01-05 10:15:00,100.0,16351.299,2024-01-05 10:15:00,3
2024-01-15,ADR,LONG,2024-01-14 21:15:00,16829.029,16820.519,16809.679,10.840000000000146,HOD,16898.364,2024-01-16 10:50:00,True,100.0,16813.553,2024-01-15 18:05:00,100.0,16817.354,2024-01-15 18:05:00,3
2024-01-15,RDR,LONG,2024-01-15 10:45:00,16831.029,16824.079,16802.809,21.27000000000044,HOD,16898.364,2024-01-16 10:50:00,True,100.0,16813.553,2024-01-15 18:05:00,100.0,16817.354,2024-01-15 18:05:00,2
2024-01-16,ADR,SHORT,2024-01-16 00:55:00,16739.353,16782.298,16747.865,34.432999999997264,LOD,16559.731,2024-01-17 10:00:00,True,36.62300765638216,16721.542,2024-01-17 01:15:00,100.0,16751.119,2024-01-17 06:30:00,9
2024-01-22,RDR,SHORT,2024-01-22 10:30:00,17341.02,17443.232,17357.331,85.90100000000166,LOD,17283.62,2024-01-23 09:35:00,True,41.28501929206447,17336.331,2024-01-22 18:05:00,100.0,17357.821,2024-01-22 21:05:00,12
2024-01-24,ODR,LONG,2024-01-24 04:05:00,17529.499,17525.109,17508.265,16.84400000000096,HOD,17631.897,2024-01-25 11:50:00,True,100.0,17506.031,2024-01-25 02:20:00,100.0,17506.364,2024-01-25 02:20:00,11
2024-01-24,RDR,LONG,2024-01-24 10:30:00,17597.221,17592.064,17515.108,76.95599999999831,HOD,17631.897,2024-01-25 11:50:00,True,100.0,17582.631,2024-01-25 09:00:00,100.0,17578.531,2024-01-25 09:00:00,7
2024-01-31,RDR,SHORT,2024-01-31 10:30:00,17206.254,17307.942,17220.965,86.97699999999895,LOD,17164.21,2024-02-01 02:05:00,True,19.07828879025178,17178.121,2024-01-31 18:05:00,100.0,17223.431,2024-01-31 21:30:00,11
2024-02-05,ADR,LONG,2024-02-05 01:20:00,17609.764,17606.875,17584.419,22.455999999998312,HOD,17679.165,2024-02-06 09:30:00,True,43.997524752478746,17615.02,2024-02-05 18:05:00,100.0,17605.721,2024-02-05 18:50:00,20
