hour,count,extension_hour_bucket,percentage
1,6,01:00–02:00,1.02
2,2,02:00–03:00,0.34
3,14,03:00–04:00,2.37
4,16,04:00–05:00,2.71
5,13,05:00–06:00,2.2
6,4,06:00–07:00,0.68
7,10,07:00–08:00,1.69
8,26,08:00–09:00,4.41
9,49,09:00–10:00,8.31
10,57,10:00–11:00,9.66
11,76,11:00–12:00,12.88
12,44,12:00–13:00,7.46
13,36,13:00–14:00,6.1
14,48,14:00–15:00,8.14
15,102,15:00–16:00,17.29
16,58,16:00–17:00,9.83
17,5,17:00–18:00,0.85
20,9,20:00–21:00,1.53
21,6,21:00–22:00,1.02
22,6,22:00–23:00,1.02
23,3,23:00–00:00,0.51
