trading_date,range_type,direction,dr_high,dr_low,dr_range,confirmation_time,confirmation_price,extreme_type,extreme_time,maximum_retracement,maximum_retracement_percent,maximum_retracement_price,maximum_retracement_time
2024-01-02,ADR,SHORT,16847.439,16831.739,15.69999999999709,2024-01-01 20:40:00,16826.679,LOD,2024-01-03 15:50:00,0.0,0.0,16560.139,2024-01-02 18:00:00
2024-01-02,ODR,SHORT,16847.799,16829.269,18.52999999999884,2024-01-02 04:00:00,16827.369,LOD,2024-01-03 15:50:00,0.0,0.0,16560.139,2024-01-02 18:00:00
2024-01-02,RDR,SHORT,16674.229,16547.239,126.98999999999796,2024-01-02 10:30:00,16529.359,LOD,2024-01-03 15:50:00,0.1015828017954014,10.15828017954014,16560.139,2024-01-02 18:00:00
2024-01-03,ADR,SHORT,16549.929,16534.379,15.549999999999272,2024-01-02 21:15:00,16529.979,LOD,2024-01-04 15:55:00,0.0,0.0,16420.879,2024-01-04 11:26:00
2024-01-03,ODR,SHORT,16547.679,16497.529,50.150000000001455,2024-01-03 04:05:00,16488.409,LOD,2024-01-04 15:55:00,0.0,0.0,16420.879,2024-01-04 11:26:00
2024-01-03,RDR,SHORT,16462.349,16393.889,68.45999999999913,2024-01-03 10:35:00,16372.579,LOD,2024-01-04 15:55:00,0.3942448144902417,39.42448144902417,16420.879,2024-01-04 11:26:00
2024-01-04,ADR,SHORT,16395.109,16385.499,9.610000000000582,2024-01-03 21:15:00,16381.599,LOD,2024-01-05 08:31:00,0.0,0.0,16307.699,2024-01-04 20:15:00
2024-01-04,ODR,SHORT,16415.479,16382.589,32.88999999999942,2024-01-04 06:50:00,16377.439,LOD,2024-01-05 08:31:00,0.0,0.0,16307.699,2024-01-04 20:15:00
2024-01-04,RDR,LONG,16359.959,16286.519,73.44000000000051,2024-01-04 10:45:00,16372.799,HOD,2024-01-05 11:12:00,1.0,100.0,16173.219,2024-01-05 08:31:00
2024-01-08,ADR,SHORT,16340.149,16331.269,8.8799999999992,2024-01-07 20:45:00,16326.889,LOD,2024-01-09 08:45:00,1.0,100.0,16638.999,2024-01-08 21:38:00
2024-01-08,ODR,SHORT,16293.829,16265.209,28.61999999999898,2024-01-08 04:20:00,16247.989,LOD,2024-01-09 08:45:00,1.0,100.0,16638.999,2024-01-08 21:38:00
2024-01-08,RDR,LONG,16484.929,16352.689,132.23999999999978,2024-01-08 10:30:00,16497.599,HOD,2024-01-09 13:05:00,0.0,0.0,16501.839,2024-01-09 08:45:00
2024-01-09,ADR,LONG,16633.489,16627.739,5.75,2024-01-08 21:15:00,16635.679,HOD,2024-01-10 15:00:00,0.0,0.0,16653.059,2024-01-10 10:05:00
2024-01-09,ODR,SHORT,16609.939,16582.219,27.71999999999753,2024-01-09 04:05:00,16576.719,LOD,2024-01-10 10:05:00,1.0,100.0,16755.079,2024-01-10 04:34:00
2024-01-09,RDR,LONG,16590.479,16512.419,78.05999999999767,2024-01-09 10:35:00,16594.199,HOD,2024-01-10 15:00:00,0.0,0.0,16653.059,2024-01-10 10:05:00
2024-01-10,ADR,SHORT,16697.599,16673.409,24.18999999999869,2024-01-10 00:25:00,16671.299,LOD,2024-01-11 11:46:00,1.0,100.0,16906.589,2024-01-11 08:30:00
2024-01-10,ODR,LONG,16712.249,16694.219,18.02999999999884,2024-01-10 04:05:00,16731.689,HOD,2024-01-11 08:30:00,0.0,0.0,16786.029,2024-01-11 08:30:00
2024-01-10,RDR,LONG,16714.909,16664.799,50.11000000000058,2024-01-10 10:40:00,16734.149,HOD,2024-01-11 08:30:00,0.0,0.0,16786.029,2024-01-11 08:30:00
2024-01-11,ADR,LONG,16841.169,16814.709,26.460000000002765,2024-01-10 21:10:00,16843.829,HOD,2024-01-12 09:45:00,1.0,100.0,16727.029,2024-01-12 06:48:00
2024-01-11,ODR,SHORT,16894.509,16861.539,32.969999999997526,2024-01-11 04:30:00,16857.399,LOD,2024-01-12 06:48:00,0.0,0.0,16837.709,2024-01-12 04:13:00
2024-01-11,RDR,SHORT,16868.809,16696.099,172.71000000000276,2024-01-11 11:10:00,16647.309,LOD,2024-01-12 06:48:00,0.8199293613571786,81.99293613571787,16837.709,2024-01-12 04:13:00
2024-01-15,ADR,LONG,16820.519,16809.679,10.840000000000146,2024-01-14 21:15:00,16829.029,HOD,2024-01-16 10:54:00,1.0,100.0,16674.187,2024-01-16 03:15:00
2024-01-15,ODR,SHORT,16878.329,16829.329,49.0,2024-01-15 04:00:00,16824.089,LOD,2024-01-16 03:15:00,0.0,0.0,16826.186,2024-01-15 18:00:00
2024-01-15,RDR,LONG,16824.079,16802.809,21.27000000000044,2024-01-15 10:45:00,16831.029,HOD,2024-01-16 10:54:00,1.0,100.0,16674.187,2024-01-16 03:15:00
2024-01-16,ADR,SHORT,16782.298,16747.865,34.432999999997264,2024-01-16 00:55:00,16739.353,LOD,2024-01-17 10:00:00,1.0,100.0,16844.589,2024-01-16 19:00:00
2024-01-16,ODR,LONG,16741.289,16683.819,57.47000000000117,2024-01-16 06:50:00,16748.198,HOD,2024-01-16 19:00:00,0.0,0.0,16830.575,2024-01-16 18:45:00
2024-01-16,RDR,LONG,16864.543,16737.489,127.05400000000007,2024-01-16 10:40:00,16874.865,HOD,2024-01-16 19:00:00,0.26735089017268826,26.735089017268827,16830.575,2024-01-16 18:45:00
2024-01-17,ADR,SHORT,16828.708,16817.275,11.432999999997264,2024-01-16 20:40:00,16810.553,LOD,2024-01-17 18:09:00,0.0,0.0,16732.532,2024-01-17 18:00:00
2024-01-17,ODR,SHORT,16724.808,16695.51,29.298000000002503,2024-01-17 04:10:00,16686.799,LOD,2024-01-17 18:09:00,1.0,100.0,16732.532,2024-01-17 18:00:00
2024-01-17,RDR,LONG,16688.631,16575.764,112.867000000002,2024-01-17 14:40:00,16709.719,HOD,2024-01-18 15:52:00,0.0,0.0,16709.631,2024-01-17 18:09:00
2024-01-18,ADR,SHORT,16745.231,16726.709,18.522000000000844,2024-01-17 20:35:00,16723.797,LOD,2024-01-18 18:04:00,1.0,100.0,16989.808,2024-01-18 18:02:00
2024-01-18,ODR,LONG,16787.597,16761.253,26.34400000000096,2024-01-18 04:20:00,16795.042,HOD,2024-01-19 16:07:00,0.0,0.0,16980.154,2024-01-18 18:04:00
2024-01-18,RDR,LONG,16909.521,16865.297,44.22400000000198,2024-01-18 10:35:00,16930.797,HOD,2024-01-19 16:07:00,0.0,0.0,16980.154,2024-01-18 18:04:00
2024-01-22,ODR,LONG,17410.186,17389.586,20.600000000002183,2024-01-22 04:05:00,17411.565,HOD,2024-01-23 16:01:00,1.0,100.0,17283.62,2024-01-23 09:35:00
2024-01-22,RDR,SHORT,17443.232,17357.331,85.90100000000166,2024-01-22 10:30:00,17341.02,LOD,2024-01-23 09:35:00,0.4722645836486439,47.226458364864385,17397.899,2024-01-23 08:41:00
2024-01-23,ADR,SHORT,17344.164,17328.876,15.288000000000466,2024-01-22 20:40:00,17328.119,LOD,2024-01-23 18:00:00,1.0,100.0,17438.042,2024-01-23 18:00:00
2024-01-23,ODR,LONG,17352.408,17304.797,47.61100000000079,2024-01-23 08:00:00,17360.889,HOD,2024-01-24 12:54:00,0.0,0.0,17430.754,2024-01-23 18:00:00
2024-01-23,RDR,LONG,17359.642,17293.721,65.92099999999846,2024-01-23 12:55:00,17364.254,HOD,2024-01-24 12:54:00,0.0,0.0,17430.754,2024-01-23 18:00:00
2024-01-24,ADR,LONG,17461.021,17446.664,14.356999999999973,2024-01-23 22:10:00,17467.71,HOD,2024-01-25 11:53:00,0.0,0.0,17469.564,2024-01-24 21:45:00
2024-01-24,ODR,LONG,17525.109,17508.265,16.84400000000096,2024-01-24 04:05:00,17529.499,HOD,2024-01-25 11:53:00,1.0,100.0,17469.564,2024-01-24 21:45:00
2024-01-24,RDR,LONG,17592.064,17515.108,76.95599999999831,2024-01-24 10:30:00,17597.221,HOD,2024-01-25 11:53:00,1.0,100.0,17469.564,2024-01-24 21:45:00
2024-01-25,ADR,SHORT,17508.342,17487.489,20.85299999999916,2024-01-24 20:45:00,17477.089,LOD,2024-01-26 03:00:00,0.0,0.0,17449.399,2024-01-25 18:00:00
2024-01-25,ODR,LONG,17527.175,17490.32,36.85499999999956,2024-01-25 07:00:00,17535.543,HOD,2024-01-26 12:07:00,1.0,100.0,17348.831,2024-01-26 03:00:00
2024-01-25,RDR,LONG,17609.332,17549.698,59.6339999999982,2024-01-25 11:45:00,17615.521,HOD,2024-01-26 12:07:00,1.0,100.0,17348.831,2024-01-26 03:00:00
2024-01-29,ADR,LONG,17413.732,17367.575,46.15699999999924,2024-01-28 20:40:00,17419.989,HOD,2024-01-29 19:33:00,0.0,0.0,17588.109,2024-01-29 18:00:00
2024-01-29,ODR,LONG,17469.754,17430.587,39.16700000000128,2024-01-29 04:00:00,17476.499,HOD,2024-01-29 19:33:00,0.0,0.0,17588.109,2024-01-29 18:00:00
2024-01-29,RDR,LONG,17462.854,17421.653,41.20100000000093,2024-01-29 12:10:00,17473.499,HOD,2024-01-29 19:33:00,0.0,0.0,17588.109,2024-01-29 18:00:00
2024-01-30,ADR,SHORT,17621.243,17601.389,19.85399999999936,2024-01-30 01:30:00,17593.689,LOD,2024-01-31 16:01:00,0.0,0.0,17381.254,2024-01-31 14:45:00
2024-01-30,ODR,SHORT,17605.276,17561.086,44.19000000000233,2024-01-30 08:10:00,17552.142,LOD,2024-01-31 16:01:00,0.0,0.0,17381.254,2024-01-31 14:45:00
2024-01-30,RDR,SHORT,17569.597,17535.665,33.9320000000007,2024-01-30 12:15:00,17505.299,LOD,2024-01-31 16:01:00,0.0,0.0,17381.254,2024-01-31 14:45:00
2024-01-31,ADR,SHORT,17346.542,17333.476,13.066000000002532,2024-01-30 20:40:00,17329.364,LOD,2024-02-01 02:09:00,0.0,0.0,17227.189,2024-01-31 23:29:00
2024-01-31,ODR,SHORT,17359.989,17338.565,21.424000000002707,2024-01-31 04:00:00,17327.753,LOD,2024-02-01 02:09:00,0.0,0.0,17227.189,2024-01-31 23:29:00
