trading_date,range_type,direction,confirmation_time,confirmation_price,dr_high,dr_low,dr_range,extreme_type,extreme_price,extreme_time,first_retracement_occurred,first_retracement_percent,first_retracement_price,first_retracement_time,maximum_retracement_before_extreme,maximum_retracement_price,maximum_retracement_time,retracement_episode_count
2024-01-08,ADR,SHORT,2024-01-07 20:45:00,16326.889,16340.149,16331.269,8.8799999999992,LOD,16501.839,2024-01-09 08:45:00,False,,,,,,,0
2024-01-08,ODR,SHORT,2024-01-08 04:20:00,16247.989,16293.829,16265.209,28.61999999999898,LOD,16501.839,2024-01-09 08:45:00,False,,,,,,,0
2024-01-09,ODR,SHORT,2024-01-09 04:05:00,16576.719,16609.939,16582.219,27.71999999999753,LOD,16653.059,2024-01-10 10:05:00,False,,,,,,,0
2024-01-11,ADR,LONG,2024-01-10 21:10:00,16843.829,16841.169,16814.709,26.460000000002765,HOD,16903.819,2024-01-12 09:45:00,False,,,,,,,0
2024-01-11,RDR,SHORT,2024-01-11 11:10:00,16647.309,16868.809,16696.099,172.71000000000276,LOD,16727.029,2024-01-12 06:45:00,False,,,,,,,0
2024-01-16,RDR,LONG,2024-01-16 10:40:00,16874.865,16864.543,16737.489,127.05400000000007,HOD,16844.589,2024-01-16 19:00:00,False,,,,,,,0
2024-01-17,ADR,SHORT,2024-01-16 20:40:00,16810.553,16828.708,16817.275,11.432999999997264,LOD,16709.631,2024-01-17 18:05:00,False,,,,,,,0
2024-01-17,ODR,SHORT,2024-01-17 04:10:00,16686.799,16724.808,16695.51,29.298000000002503,LOD,16709.631,2024-01-17 18:05:00,False,,,,,,,0
2024-01-18,ADR,SHORT,2024-01-17 20:35:00,16723.797,16745.231,16726.709,18.522000000000844,LOD,16980.154,2024-01-18 18:00:00,False,,,,,,,0
2024-01-22,ODR,LONG,2024-01-22 04:05:00,17411.565,17410.186,17389.586,20.600000000002183,HOD,17429.187,2024-01-23 16:00:00,False,,,,,,,0
2024-01-23,ADR,SHORT,2024-01-22 20:40:00,17328.119,17344.164,17328.876,15.288000000000466,LOD,17430.754,2024-01-23 18:00:00,False,,,,,,,0
2024-01-25,ODR,LONG,2024-01-25 07:00:00,17535.543,17527.175,17490.32,36.85499999999956,HOD,17517.331,2024-01-26 12:05:00,False,,,,,,,0
2024-01-25,RDR,LONG,2024-01-25 11:45:00,17615.521,17609.332,17549.698,59.6339999999982,HOD,17517.331,2024-01-26 12:05:00,False,,,,,,,0
2024-02-06,RDR,SHORT,2024-02-06 11:45:00,17506.119,17651.765,17529.587,122.17799999999988,LOD,17542.719,2024-02-07 01:30:00,False,,,,,,,0
2024-02-07,ADR,SHORT,2024-02-07 01:25:00,17553.021,17623.52,17567.287,56.233000000000175,LOD,17708.608,2024-02-08 08:20:00,False,,,,,,,0
2024-02-08,ODR,SHORT,2024-02-08 06:20:00,17730.91,17764.889,17742.91,21.97899999999936,LOD,17770.042,2024-02-08 20:55:00,False,,,,,,,0
2024-02-12,ODR,LONG,2024-02-12 04:05:00,17975.597,17971.789,17955.497,16.29200000000128,HOD,17885.908,2024-02-13 03:05:00,False,,,,,,,0
2024-02-12,RDR,LONG,2024-02-12 10:35:00,17972.476,17964.689,17938.71,25.97899999999936,HOD,17885.908,2024-02-13 03:05:00,False,,,,,,,0
2024-02-13,ADR,LONG,2024-02-12 21:30:00,17856.22,17852.331,17846.465,5.865999999998167,HOD,17813.976,2024-02-14 15:55:00,False,,,,,,,0
2024-02-14,RDR,SHORT,2024-02-14 11:00:00,17651.11,17771.799,17679.443,92.35599999999975,LOD,17715.889,2024-02-15 11:05:00,False,,,,,,,0
2024-02-15,RDR,SHORT,2024-02-15 11:05:00,17721.821,17819.042,17742.065,76.97700000000259,LOD,17652.442,2024-02-16 10:00:00,False,,,,,,,0
2024-02-19,ODR,LONG,2024-02-19 04:55:00,17721.443,17719.453,17683.865,35.58799999999974,HOD,17729.686,2024-02-19 18:00:00,False,,,,,,,0
2024-02-21,ODR,SHORT,2024-02-21 07:05:00,17448.332,17516.42,17458.289,58.130999999997584,LOD,17621.11,2024-02-21 18:05:00,False,,,,,,,0
2024-02-21,RDR,SHORT,2024-02-21 12:10:00,17388.097,17463.254,17403.251,60.00300000000061,LOD,17621.11,2024-02-21 18:05:00,False,,,,,,,0
2024-02-27,ODR,LONG,2024-02-27 04:00:00,17948.708,17944.197,17909.054,35.14300000000003,HOD,17974.031,2024-02-27 18:00:00,False,,,,,,,0
2024-02-29,RDR,SHORT,2024-02-29 11:25:00,17938.987,18025.019,17946.432,78.58699999999953,LOD,17990.798,2024-03-01 05:25:00,False,,,,,,,0
2024-03-04,ADR,LONG,2024-03-03 20:35:00,18310.065,18308.299,18301.564,6.735000000000582,HOD,18218.599,2024-03-04 18:00:00,False,,,,,,,0
2024-03-07,ADR,SHORT,2024-03-06 21:20:00,17912.686,17973.086,17942.943,30.14300000000003,LOD,17995.021,2024-03-08 13:35:00,False,,,,,,,0
2024-03-12,ADR,SHORT,2024-03-11 20:30:00,18020.808,18042.999,18022.809,20.18999999999869,LOD,18026.675,2024-03-13 10:40:00,False,,,,,,,0
2024-03-14,ADR,LONG,2024-03-13 20:35:00,18119.719,18116.71,18102.199,14.510999999998605,HOD,18073.099,2024-03-15 05:40:00,False,,,,,,,0
