range_type,percentile,retracement_fraction,retracement_percent
ADR,50.0,0.0526547159673483,5.26547159673483
ADR,60.0,0.07193015881482395,7.1930158814823955
ADR,70.0,0.10376904852595749,10.376904852595748
ADR,75.0,0.1267979784889747,12.67979784889747
ADR,80.0,0.160090256308039,16.0090256308039
ADR,85.0,0.19215331709064312,19.215331709064312
ADR,90.0,0.2474785298842778,24.74785298842778
ADR,95.0,0.3934208525929856,39.34208525929856
ADR,97.5,0.5511825687396587,55.11825687396586
ADR,99.0,0.8224009929813288,82.24009929813289
ADR,100.0,1.0,100.0
ODR,50.0,0.0457955200553364,4.57955200553364
ODR,60.0,0.0617073010449092,6.17073010449092
ODR,70.0,0.081609435892947,8.1609435892947
ODR,75.0,0.09874972494514273,9.874972494514273
ODR,80.0,0.123603168773926,12.3603168773926
ODR,85.0,0.15106104861625377,15.106104861625377
ODR,90.0,0.22231196728024838,22.231196728024837
ODR,95.0,0.30842380237748346,30.842380237748344
ODR,97.5,0.4730178080812393,47.30178080812393
ODR,99.0,0.6674658732329696,66.74658732329696
ODR,100.0,0.9296010903181487,92.96010903181488
RDR,50.0,0.0392018185719863,3.9201818571986298
RDR,60.0,0.051878774086325435,5.187877408632543
RDR,70.0,0.06611235979934611,6.611235979934611
RDR,75.0,0.08068985362072556,8.068985362072556
RDR,80.0,0.09113949713226911,9.113949713226912
RDR,85.0,0.10609712226849934,10.609712226849934
RDR,90.0,0.13352446423868924,13.352446423868924
RDR,95.0,0.19093906348148354,19.093906348148355
RDR,97.5,0.24324594240505173,24.324594240505174
RDR,99.0,0.38215989070700396,38.215989070700395
RDR,100.0,0.5330703196898016,53.307031968980155
