instrument,trading_date,day_of_week,range_type,dr_high,dr_low,dr_range,idr_high,idr_low,idr_range,confirmed,direction,confirmation_time,confirmation_price,dr_rule_true,retraced_into_dr,outside_dr_closed,mean_sd_up,mean_sd_down,extension_sd,extension_price,extension_time,max_retracement_sd,max_retracement_price,max_retracement_time,reached_05_sd,time_05_sd,retracement_before_extreme_sd,retracement_after_05_sd,first_retracement_occurred,first_retracement_price,first_retracement_time,first_retracement_exact
ES,2018-01-02,Tuesday,ADR,2681.5,2679.25,2.25,2681.5,2679.0,2.5,True,SHORT,2018-01-01 21:20:00,2678.75,True,True,False,0.0,1.2222,1.2222,2676.5,2018-01-01 21:54:00,0.5556,2680.5,2018-01-02 00:50:00,True,2018-01-01 21:35:00,0.0,0.5556,True,2679.25,2018-01-01 21:25:00,0.0
ES,2018-01-02,Tuesday,ODR,2680.13,2677.25,2.880000000000109,2680.13,2677.25,2.880000000000109,True,SHORT,2018-01-02 04:30:00,2677.0,False,True,False,1.5174,0.6944,0.6944,2675.25,2018-01-02 04:57:00,2.5174,2684.5,2018-01-02 07:40:00,True,2018-01-02 04:57:00,0.0868,2.5174,True,2677.25,2018-01-02 04:35:00,0.0
ES,2018-01-02,Tuesday,RDR,2691.75,2682.5,9.25,2691.75,2681.75,10.0,True,LONG,2018-01-02 15:20:00,2692.0,True,True,True,0.4324,0.0,0.4324,2695.75,2018-01-02 15:59:00,0.0811,2691.0,2018-01-02 15:35:00,False,,0.0811,,True,2691.75,2018-01-02 15:25:00,0.0
ES,2018-01-03,Wednesday,ODR,2697.75,2696.25,1.5,2697.75,2696.25,1.5,True,LONG,2018-01-03 05:50:00,2698.0,False,True,False,0.5,0.3333,0.5,2698.5,2018-01-03 06:10:00,1.3333,2695.75,2018-01-03 07:30:00,True,2018-01-03 06:10:00,0.0,1.3333,True,2697.75,2018-01-03 06:28:00,0.0
ES,2018-01-03,Wednesday,RDR,2706.5,2697.13,9.36999999999989,2707.0,2697.13,9.86999999999989,True,LONG,2018-01-03 10:30:00,2707.25,True,True,True,0.8004,0.0,0.8004,2714.0,2018-01-03 15:46:00,0.1601,2705.0,2018-01-03 10:56:00,True,2018-01-03 12:49:00,0.1601,0.0,True,2706.5,2018-01-03 10:46:00,0.0
ES,2018-01-04,Thursday,RDR,2726.75,2719.13,7.619999999999891,2726.75,2718.25,8.5,True,LONG,2018-01-04 10:30:00,2727.25,True,True,False,0.2625,0.0,0.2625,2728.75,2018-01-04 10:42:00,0.689,2721.5,2018-01-04 11:38:00,False,,0.0,,True,2726.75,2018-01-04 10:44:00,0.0
ES,2018-01-05,Friday,RDR,2732.38,2727.0,5.380000000000109,2733.13,2726.5,6.630000000000109,True,LONG,2018-01-05 11:15:00,2734.0,True,True,True,1.9275,0.0,1.9275,2742.75,2018-01-05 15:59:00,0.2565,2731.0,2018-01-05 12:55:00,True,2018-01-05 14:24:00,0.2565,0.0,True,2732.0,2018-01-05 12:03:00,0.0706
ES,2018-01-08,Monday,ODR,2744.88,2741.75,3.130000000000109,2745.5,2741.75,3.75,True,SHORT,2018-01-08 04:35:00,2741.5,True,True,True,0.0,1.6773,1.6773,2736.5,2018-01-08 07:50:00,0.7188,2744.0,2018-01-08 05:41:00,True,2018-01-08 06:58:00,0.7188,0.0,True,2741.75,2018-01-08 04:40:00,0.0
ES,2018-01-08,Monday,RDR,2741.25,2738.0,3.25,2741.5,2737.0,4.5,True,LONG,2018-01-08 11:10:00,2742.0,True,True,True,2.1538,0.0,2.1538,2748.25,2018-01-08 15:53:00,0.0,2741.25,2018-01-08 11:17:00,True,2018-01-08 11:34:00,0.0,0.0,True,2741.25,2018-01-08 11:17:00,0.0
ES,2018-01-09,Tuesday,RDR,2753.13,2749.0,4.130000000000109,2753.25,2748.0,5.25,True,LONG,2018-01-09 11:10:00,2753.75,True,True,False,1.6029,0.2421,1.6029,2759.75,2018-01-09 14:00:00,0.5157,2751.0,2018-01-09 15:59:00,True,2018-01-09 11:17:00,0.0,0.5157,True,2752.75,2018-01-09 15:47:00,0.092
