instrument,trading_date,day_of_week,range_type,dr_high,dr_low,dr_range,idr_high,idr_low,idr_range,confirmed,direction,confirmation_time,confirmation_price,dr_rule_true,retraced_into_dr,outside_dr_closed,mean_sd_up,mean_sd_down,extension_sd,extension_price,extension_time,max_retracement_sd,max_retracement_price,max_retracement_time,reached_05_sd,time_05_sd,retracement_before_extreme_sd,retracement_after_05_sd,first_retracement_occurred,first_retracement_price,first_retracement_time,first_retracement_exact
YM,2026-08-27,Thursday,ODR,53662.0,53625.0,37.0,53662.0,53620.0,42.0,True,SHORT,2026-08-27 04:15:00,53612.0,True,False,,0.027,4.7838,4.7838,53448.0,2026-08-27 06:27:00,-0.4054,53610.0,2026-08-27 04:20:00,True,2026-08-27 04:20:00,-0.4054,-0.4054,False,,,
YM,2026-08-27,Thursday,RDR,53595.0,53459.0,136.0,53601.0,53390.0,211.0,True,LONG,2026-08-27 10:35:00,53618.0,True,True,True,1.25,0.0,1.25,53765.0,2026-08-27 11:24:00,0.2574,53560.0,2026-08-27 14:54:00,True,2026-08-27 10:45:00,-0.1765,0.2574,True,53590.0,2026-08-27 14:12:00,0.0368
YM,2026-08-28,Friday,ADR,53618.0,53573.0,45.0,53618.0,53571.0,47.0,True,LONG,2026-08-27 20:30:00,53625.0,True,False,,2.4667,0.0,2.4667,53729.0,2026-08-27 22:20:00,-0.0667,53621.0,2026-08-27 20:37:00,True,2026-08-27 20:57:00,-0.0667,-0.4444,False,,,
YM,2026-08-28,Friday,ODR,53745.0,53719.0,26.0,53751.0,53715.0,36.0,True,SHORT,2026-08-28 04:15:00,53711.0,False,True,True,0.4615,4.1154,4.1154,53612.0,2026-08-28 07:38:00,1.4615,53757.0,2026-08-28 04:36:00,True,2026-08-28 04:45:00,1.4615,0.1923,True,53719.0,2026-08-28 04:21:00,0.0
YM,2026-08-28,Friday,RDR,53743.0,53573.0,170.0,53785.0,53531.0,254.0,True,LONG,2026-08-28 10:55:00,53797.0,False,True,False,0.7,0.3529,0.7,53862.0,2026-08-28 11:26:00,1.3529,53513.0,2026-08-28 13:10:00,True,2026-08-28 11:00:00,-0.0824,1.3529,True,53733.0,2026-08-28 11:39:00,0.0588
YM,2026-08-31,Monday,ADR,53487.0,53424.0,63.0,53490.0,53410.0,80.0,True,LONG,2026-08-30 20:30:00,53506.0,False,True,False,0.4127,0.6032,0.3492,53509.0,2026-08-30 20:35:00,1.6032,53386.0,2026-08-30 22:51:00,False,,-0.2698,,True,53483.0,2026-08-30 20:56:00,0.0635
YM,2026-08-31,Monday,ODR,53535.0,53493.0,42.0,53537.0,53481.0,56.0,True,SHORT,2026-08-31 04:10:00,53479.0,False,True,True,0.2857,1.9762,1.9762,53410.0,2026-08-31 08:25:00,1.2857,53547.0,2026-08-31 05:20:00,True,2026-08-31 06:31:00,1.2857,1.0952,True,53503.0,2026-08-31 04:16:00,0.2381
YM,2026-08-31,Monday,RDR,53427.0,53155.0,272.0,53428.0,53151.0,277.0,False,,,,,,,0.0,0.0221,,,,,,,False,,,,False,,,
YM,2026-09-01,Tuesday,ADR,53335.0,53280.0,55.0,53343.0,53274.0,69.0,True,SHORT,2026-08-31 22:35:00,53273.0,True,True,False,0.0,0.9455,0.9455,53228.0,2026-09-01 01:01:00,0.4909,53307.0,2026-09-01 01:55:00,True,2026-09-01 00:28:00,0.1636,0.4909,True,53287.0,2026-08-31 22:57:00,0.1273
YM,2026-09-01,Tuesday,ODR,53301.0,53194.0,107.0,53305.0,53166.0,139.0,True,SHORT,2026-09-01 04:05:00,53127.0,True,False,,0.0,3.0467,3.0467,52868.0,2026-09-01 08:10:00,-0.5327,53137.0,2026-09-01 04:15:00,True,2026-09-01 04:10:00,-0.5327,-0.5327,False,,,
